"session","bird","n_resp_left","n_resp_right","n_reinf_left","n_reinf_right"
"s41","p530",251,296,14,34
"s42","p530",264,451,16,37
"s43","p530",240,556,14,39
"s44","p530",183,468,12,41
"s45","p530",132,170,11,32
"s46","p530",170,480,11,28
"s47","p530",351,375,13,34
"s48","p530",284,566,11,34
"s49","p530",231,448,13,31
"s50","p530",228,597,12,36
"s51","p530",191,606,8,29
"s52","p530",254,736,17,39
"s53","p530",166,525,8,26
"s54","p530",644,557,42,9
"s55","p530",588,462,30,12
"s56","p530",808,554,53,16
"s57","p530",467,379,29,15
"s58","p530",975,420,60,23
"s59","p530",739,186,35,11
"s60","p530",560,113,40,12
"s61","p530",660,102,34,13
"s62","p530",888,134,26,10
"s63","p530",1116,182,45,16
"s64","p530",740,127,30,9
"s65","p530",742,81,37,11
"s66","p530",1194,149,52,18
"s67","p530",761,116,53,17
"s68","p530",438,115,45,19
"s69","p530",621,157,42,15
"s70","p530",630,137,48,16
"s71","p530",895,164,44,13
"s72","p530",852,232,50,14
"s73","p530",430,119,31,11
"s74","p530",550,118,25,14
"s75","p530",560,159,33,14
"s76","p530",631,486,14,40
"s77","p530",286,258,10,22
"s78","p530",303,232,12,23
"s79","p530",281,357,14,36
"s80","p530",377,301,19,38
"s81","p530",319,460,10,38
"s82","p530",268,656,15,34
"s83","p530",163,252,15,19
"s84","p530",255,344,13,21
"s85","p530",243,263,13,31
"s86","p530",488,579,19,37
"s87","p530",292,269,9,30
"s88","p530",228,415,10,42
"s89","p530",143,247,11,29
"s90","p530",151,331,9,32
"s91","p530",121,216,11,24
"s92","p530",209,330,17,37
"s93","p530",159,485,12,37
"s94","p530",127,476,13,32
"s95","p530",258,576,16,44
"s96","p530",213,531,10,32
"s97","p530",70,519,8,28
"s98","p530",49,408,9,33
"s99","p530",81,580,10,40
"s100","p530",61,806,11,39
"s101","p530",30,609,7,31
"s102","p530",123,619,17,19
"s103","p530",190,574,23,12
"s104","p530",225,523,18,17
"s105","p530",91,590,11,20
"s106","p530",171,550,26,24
"s107","p530",195,738,20,20
"s108","p530",212,603,17,26
"s109","p530",181,730,23,22
"s110","p530",223,793,21,32
"s111","p530",234,535,21,22
"s112","p530",294,467,28,21
"s113","p530",298,535,20,24
"s114","p530",350,386,25,25
"s115","p530",261,300,18,14
"s116","p530",459,648,35,38
"s117","p530",552,271,53,5
"s118","p530",1337,100,74,5
"s119","p530",338,757,2,61
"s120","p530",444,233,48,15
"s121","p530",207,561,16,48
"s122","p530",738,343,56,7
"s123","p530",1073,318,61,12
"s124","p530",993,178,37,3
"s125","p530",2074,136,84,10
"s126","p530",723,828,23,75
"s127","p530",567,1072,26,54
"s128","p530",1070,257,51,3
"s129","p530",1266,75,44,3
"s130","p530",1620,43,64,6
"s131","p530",652,662,23,49
"s132","p530",636,720,28,52
"s133","p530",954,516,45,20
"s134","p530",1535,537,62,26
"s135","p530",475,744,11,58
"s136","p530",306,1074,10,56
"s137","p530",1047,415,58,14
"s138","p530",268,1121,6,68
"s139","p530",1142,680,50,15
"s140","p530",874,221,45,9
"s141","p530",416,853,10,58
"s142","p530",1014,112,60,3
"s143","p530",344,1200,12,87
"s144","p530",257,1181,10,55
"s145","p530",1552,203,87,7
"s146","p530",1082,84,61,9
"s147","p530",158,1120,2,52
"s148","p530",843,78,58,2
"s149","p530",396,534,25,46
"s150","p530",718,80,48,3
"s151","p530",994,24,59,1
"s152","p530",201,906,9,51
"s153","p530",326,1252,15,52
"s154","p530",431,1257,14,73
"s155","p530",472,1516,17,80
"s156","p530",588,292,37,18
"s157","p530",373,829,10,55
"s158","p530",1037,269,71,11
"s159","p530",536,177,56,11
"s160","p530",472,1096,19,58
"s161","p530",402,101,39,5
"s162","p530",1023,179,70,13
"s163","p530",858,188,64,12
"s164","p530",288,771,16,60
"s165","p530",591,361,24,20
"s166","p530",955,545,44,35
"s167","p530",759,734,34,52
"s168","p530",444,539,22,37
"s169","p530",706,145,46,7
"s170","p530",307,505,6,41
"s171","p530",987,404,52,23
"s172","p530",826,475,48,32
"s173","p530",1201,324,55,20
"s174","p530",1225,372,57,29
"s175","p530",214,488,0,50
"s176","p530",194,742,7,38
"s177","p530",845,193,47,10
"s178","p530",479,1070,16,64
"s179","p530",365,677,20,48
